x1,x2,km,gmm,class
80.03108215332031,-15.518487930297852,6.0,6.0,0.0
80.68802642822266,-16.995498657226562,6.0,6.0,0.0
-47.647377014160156,-54.222633361816406,0.0,0.0,7.0
8.900795936584473,-26.387948989868164,7.0,7.0,4.0
44.64250946044922,56.30854797363281,3.0,3.0,6.0
-39.969566345214844,24.800676345825195,5.0,5.0,2.0
26.48604965209961,-17.027822494506836,1.0,1.0,5.0
21.30389404296875,28.647539138793945,8.0,2.0,5.0
67.18809509277344,-23.34176254272461,6.0,6.0,0.0
2.0547382831573486,1.222664475440979,2.0,2.0,8.0
-41.817474365234375,-42.68389129638672,0.0,0.0,7.0
-6.503758430480957,-32.97175216674805,7.0,7.0,1.0
7.112109661102295,-20.005630493164062,7.0,7.0,9.0
17.32074546813965,37.203678131103516,8.0,8.0,5.0
0.1681022047996521,16.012819290161133,2.0,2.0,3.0
78.31926727294922,-21.816036224365234,6.0,6.0,0.0
8.079519271850586,-26.19341278076172,7.0,7.0,4.0
-45.702152252197266,-40.83002853393555,0.0,0.0,7.0
15.641039848327637,4.714986324310303,1.0,1.0,8.0
8.989558219909668,-33.050010681152344,7.0,7.0,4.0
-36.18302917480469,-46.199825286865234,0.0,0.0,7.0
15.50019645690918,4.958827495574951,1.0,1.0,8.0
30.72332763671875,33.6800537109375,8.0,8.0,5.0
16.159530639648438,-28.734392166137695,7.0,7.0,9.0
-36.79924392700195,39.94459915161133,5.0,5.0,1.0
-45.000892639160156,30.305803298950195,5.0,5.0,2.0
72.94270324707031,-10.198851585388184,6.0,6.0,0.0
42.59185028076172,60.02173614501953,3.0,3.0,6.0
-3.576596975326538,-32.3997917175293,7.0,7.0,1.0
15.892666816711426,6.766269207000732,1.0,1.0,8.0
-51.498050689697266,-52.04391860961914,0.0,0.0,7.0
73.3913803100586,-2.3470020294189453,6.0,6.0,0.0
-46.25185775756836,-42.49653625488281,0.0,0.0,7.0
44.706077575683594,61.749412536621094,3.0,3.0,6.0
9.63609790802002,-32.978302001953125,7.0,7.0,9.0
-0.24590805172920227,-30.227310180664062,7.0,7.0,1.0
-40.2500114440918,-32.966800689697266,0.0,0.0,9.0
7.88810396194458,26.153635025024414,8.0,2.0,3.0
11.703784942626953,-26.07080841064453,7.0,7.0,9.0
10.166864395141602,-30.721956253051758,7.0,7.0,4.0
24.355201721191406,-1.0006918907165527,1.0,1.0,9.0
-40.989871978759766,23.157445907592773,5.0,5.0,2.0
-37.10483932495117,39.37668228149414,5.0,5.0,1.0
13.11185359954834,-29.45591163635254,7.0,7.0,9.0
11.507386207580566,-31.4611759185791,7.0,7.0,9.0
45.6753044128418,62.896183013916016,3.0,3.0,6.0
-2.263714075088501,-35.48877716064453,7.0,7.0,4.0
15.342887878417969,9.162341117858887,1.0,1.0,3.0
-53.51851272583008,29.71840476989746,5.0,5.0,2.0
