x1,x2,km,gmm,class
-11.656052589416504,68.63029479980469,1.0,3.0,0.0
-1.1714175939559937,74.03716278076172,1.0,3.0,0.0
-10.42949390411377,-71.15512084960938,7.0,0.0,7.0
14.92819595336914,-30.429990768432617,0.0,4.0,4.0
51.391510009765625,58.07933807373047,3.0,5.0,6.0
-72.92677307128906,18.467323303222656,5.0,9.0,2.0
15.007326126098633,-20.335710525512695,0.0,4.0,5.0
43.10565185546875,-3.028865337371826,6.0,7.0,5.0
-17.67017364501953,70.01497650146484,1.0,3.0,0.0
-23.86318016052246,19.860610961914062,2.0,2.0,8.0
4.391148567199707,-71.66468048095703,7.0,0.0,7.0
-11.738241195678711,-36.793922424316406,9.0,8.0,1.0
14.833276748657227,-27.344547271728516,0.0,4.0,9.0
44.12245559692383,-2.69390606880188,6.0,7.0,5.0
3.227038860321045,19.36506462097168,8.0,6.0,3.0
-18.53411293029785,62.92945098876953,1.0,3.0,0.0
14.672804832458496,-31.272048950195312,0.0,4.0,4.0
3.0944693088531494,-73.78601837158203,7.0,0.0,7.0
-25.334976196289062,16.345399856567383,2.0,2.0,8.0
11.49547004699707,-30.727636337280273,0.0,4.0,4.0
-0.14700855314731598,-65.02711486816406,7.0,0.0,7.0
-25.74480438232422,16.41981315612793,2.0,2.0,8.0
32.68751525878906,-1.7133864164352417,6.0,7.0,5.0
8.828789710998535,-22.44270133972168,0.0,4.0,9.0
-73.0174331665039,-13.624919891357422,5.0,9.0,1.0
-71.71407318115234,14.153722763061523,5.0,9.0,2.0
-6.388123512268066,61.93693923950195,1.0,3.0,0.0
52.974578857421875,52.45853042602539,3.0,5.0,6.0
-9.461161613464355,-35.8031005859375,9.0,8.0,1.0
-26.774324417114258,17.80314064025879,2.0,2.0,8.0
-8.041728019714355,-76.63983917236328,7.0,0.0,7.0
-3.343641996383667,64.02076721191406,1.0,3.0,0.0
4.85447359085083,-73.9703140258789,7.0,0.0,7.0
49.63039779663086,50.715476989746094,3.0,5.0,6.0
