x1,x2,km,gmm,class
-14.435015678405762,44.9412727355957,1.0,1.0,2.0
-11.910270690917969,-51.172386169433594,0.0,0.0,1.0
-20.283679962158203,-30.409500122070312,0.0,0.0,1.0
-44.771976470947266,-40.2203483581543,0.0,0.0,2.0
-14.967529296875,41.40730667114258,1.0,1.0,2.0
-26.471513748168945,43.0152473449707,1.0,1.0,2.0
45.486778259277344,-1.5864362716674805,2.0,2.0,1.0
43.38424301147461,-15.087823867797852,2.0,2.0,1.0
40.304325103759766,-21.1740665435791,2.0,2.0,1.0
26.794065475463867,-9.430273056030273,2.0,2.0,1.0
42.653648376464844,-27.01731300354004,2.0,2.0,3.0
-19.070215225219727,52.318077087402344,1.0,1.0,3.0
28.87213706970215,-8.529097557067871,2.0,2.0,1.0
47.822601318359375,0.4852216839790344,2.0,2.0,1.0
25.60574722290039,63.3917350769043,1.0,1.0,2.0
-26.228158950805664,-52.66586685180664,0.0,0.0,2.0
31.46293830871582,7.593931674957275,2.0,2.0,1.0
-19.40125846862793,38.93661880493164,1.0,1.0,2.0
-13.647536277770996,-36.60430908203125,0.0,0.0,1.0
-17.416343688964844,-57.92995071411133,0.0,0.0,1.0
28.21495819091797,3.9707789421081543,2.0,2.0,1.0
-11.026920318603516,-51.99168014526367,0.0,0.0,3.0
-45.26898956298828,-35.4708251953125,0.0,0.0,1.0
-14.574357986450195,-44.5577507019043,0.0,0.0,3.0
-42.2425422668457,-45.4669189453125,0.0,0.0,3.0
2.2602121829986572,55.495113372802734,1.0,1.0,2.0
-37.8548583984375,42.03664779663086,1.0,1.0,3.0
27.461532592773438,2.8518424034118652,2.0,2.0,1.0
34.996864318847656,-1.2567174434661865,2.0,2.0,1.0
-23.41374397277832,50.37828826904297,1.0,1.0,2.0
-15.442054748535156,-45.3404426574707,0.0,0.0,1.0
-23.24714469909668,39.50310134887695,1.0,1.0,2.0
-52.75035095214844,-36.619895935058594,0.0,0.0,3.0
-42.10456085205078,33.282684326171875,1.0,1.0,1.0
38.92958068847656,-25.919353485107422,2.0,2.0,3.0
-32.991519927978516,30.539840698242188,1.0,1.0,2.0
-23.737186431884766,37.68250274658203,1.0,1.0,2.0
-33.902767181396484,39.11571502685547,1.0,1.0,2.0
-27.3912353515625,-42.93951416015625,0.0,0.0,3.0
-36.302249908447266,43.79458999633789,1.0,1.0,3.0
50.59076690673828,-26.057924270629883,2.0,2.0,2.0
53.02989959716797,13.155558586120605,2.0,2.0,1.0
-37.04452896118164,47.057193756103516,1.0,1.0,2.0
-25.416667938232422,-37.155006408691406,0.0,0.0,3.0
45.96335983276367,-24.02554702758789,2.0,2.0,1.0
29.357378005981445,64.8424301147461,1.0,1.0,2.0
59.87397003173828,3.2385857105255127,2.0,2.0,2.0
45.69793701171875,-18.128782272338867,2.0,2.0,3.0
-30.31143569946289,-46.4681282043457,0.0,0.0,2.0
48.66195297241211,8.301406860351562,2.0,2.0,1.0
65.34424591064453,23.526636123657227,2.0,2.0,3.0
-6.339474678039551,-40.31450271606445,0.0,0.0,1.0
67.4682846069336,27.213930130004883,2.0,2.0,2.0
